ruslemma;ruslemma stressed;ruslemma;ZaliznjakCode;Book;Lesson;EnglishGloss;DanishGloss;NorwegianGloss;SemanticSet;AspectPartner;MotionPartner
спрашивать;спра́шивать;v;;MiP;L16;ask;spørge;spørre;;спроси́ть;
спросить;спроси́ть;v;;MiP;L16;ask;spørge;spørre;;спра́шивать;
сразу;сра́зу;adv;;MiP;L8;immediately;straks;straks;;;
среда;среда́;n;;MiP;L9;Wednesday;onsdag;onsdag;;;
ссориться;ссо́риться;;;MiP;L21;argue;blive uvenner;krangle;;поссо́риться;
стадион;стадио́н;;;MiP;L1;stadium;stadion;stadion;;;
стакан;стака́н;n;;MiP;B6;glass;glas;glass;;;
становиться;станови́ться;;;MiP;L16;become;blive;bli;;;
станция;ста́нция;n;;MiP;L17;station;station;stasjon;;;
старый;ста́рый;adj;;MiP;L4;old;gammel;gammel;;;
стать;стать;v;;MiP;L16;become;blive;bli;;;
стереосистема;стереосисте́ма;;;MiP;B9;stereosystem;stereoanlæg;stereoanlegg;;;
стихи;стихи́;n;;MiP;L21;poem;digt;dikt;;;
стоить;сто́ить;v;;MiP;L8;cost;koste;koste;;;
стол;стол;n;;MiP;B2;table, desk;bord;bord;;;
столик;сто́лик;n;;MiP;L7;small table, stand;lite bord, sofabord;lite bord, salongbord;;;
стоять;стоя́ть;v;;MiP;L2;stand;stå;stå;;;
студентка;студе́нтка;;;MiP;L1;female student;studerende kvinde;kvinnelig student;;;
стул;стул;n;;MiP;B2;chair;stol;stol;;;
суббота;суббо́та;n;;MiP;L9;Saturday;lørdag;lørdag;;;
суда;суда́;n;;MiP;L11;to here;herhen;hit;;;
сумка;су́мка;n;;MiP;L2;purse, bag;taske;veske;;;
супермаркет;суперма́ркет;;;MiP;L6;supermarket;supermarked;supermarked;;;
сухой;сухо́й;;;MiP;L7;dry;tør;tørr;;;
сфотографировать;сфотографи́ровать;;;MiP;L7;photograph;fotografere;fotografere;;фотографи́ровать;
сфотографироваться;сфотографи́роваться;;;MiP;L21;be photographed;blive fotograferet;bli fotografert;;фотографи́роваться;
счастливый;счастли́вый;adj;;MiP;L18;happy;lykkelig;lykkelig;;;
счастье;сча́стье;n;;MiP;L20;happiness;lykke;lykke;;;
счет;счёт;;;MiP;L19;bill, check;regning;regning;;;
съесть;съесть;v;;MiP;L8;eat;spise;spise;;есть;
сыграть;сыгра́ть;v;;MiP;L1;play;lege, spille;leke, spille;;игра́ть;
сын;сын;n;;MiP;B5;son;søn;sønn;;;
сыр;сыр;;;MiP;L4;cheese;ost;ost;;;
так;так;adv;;MiP;L1;that way;så, sådan;slik;;;
такой;тако́й;prn;;MiP;;such a;så, sådan;slik;;;
там;там;adv;;MiP;B1;there;der;der;;;
таможня;тамо́жня;;;MiP;L20;customs;told;toll;;;
танцевать;танцева́ть;v;;MiP;L15;dance;danse;danse;;;
тарелка;таре́лка;n;;MiP;B6;plate;tallerken;tallerken;;;
твой;твой;det;;MiP;B9;your;din;din;;;
телевизор;телеви́зор;n;;MiP;B6;television;fjernsynsapparat;TV;;;
телефон;телефо́н;n;;MiP;B6;telephone;telefon;telefon;;;
тема;те́ма;n;;MiP;L16;topic;tema;tema;;;
темно;темно́;adv;;MiP;L14;dark;mørkt;mørkt;;;
темный;тёмный;;;MiP;L14;dark;mørk;mørk;;;
темпераментный;темпера́ментный;;;MiP;L19;tempermental;temperamentsfuld;temperamentsfull;;;
температура;температу́ра;n;;MiP;L5;temperature, fever;temperatur, feber;temperatur, feber;;;
теннис;те́ннис;;;MiP;L9;tennis;tennis;tennis;;;
теперь;тепе́рь;adv;;MiP;L7;now;nu;nå;;;
тепло;тепло́;n;;MiP;L12;warm;varmt;varmt;;;
теплый;тёплый;;;MiP;L11;warm;varm;varm;;;
тетя;тётя;;;MiP;B9;aunt;tante;tante;;;
тихо;ти́хо;adv;;MiP;L6;quietly;stille;stille;;;
тогда;тогда́;adv;;MiP;L6;then;da, så, dengang;da, så, den gang;;;
тоже;то́же;adv;;MiP;B5;also;også;også;;;
только;то́лько;adv;;MiP;L1;only;bare, kun;bare, kun;;;
тост;тост;;;MiP;L11;toast, speech;skål;skål;;;
тот;тот;det;;MiP;L11;that;den, det;den, det;;;
точно;то́чно;adv;;MiP;;exactly, precisely;præcist, bestemt;presis, akkurat;;;
трактор;тра́ктор;n;;MiP;B9;tractor;traktor;traktor;;;
тратить;тра́тить;v;;MiP;L19;spend;bruge penge, tid;bruke penger, tid;;потра́тить;
троллейбус;тролле́йбус;;;MiP;L16;trolleybus;trolleybus;trolleybuss;;;
трудный;тру́дный;;;MiP;L10;difficult;svær;vanskelig;;;
туалет;туале́т;n;;MiP;L10;toilet;toilet;toalett;;;
туда;туда́;adv;;MiP;L16;to there;derhen;dit;;;
ты;ты;prn;;MiP;B7;you;du;du;;;
тысяча;ты́сяча;num;;MiP;L11;thousand;tusinde;tusen;;;
тяжело;тяжело́;adv;;MiP;L13;difficult, hard;tungt, hårdt;tungt, vanskelig;;;
тяжелый;тяжёлый;;;MiP;L13;difficult;tung;tung, vanskelig;;;
у;у;pr;;MiP;L2;by, near, at;hos;hos;;;
увидеть;уви́деть;v;;MiP;L7;see;se, få øje på;se, få øye på;;ви́деть;
увидеться;уви́деться;;;MiP;;be seen;ses;ses;;ви́деться;
удовольствие;удово́льствие;n;;MiP;L2;satisfaction;fornøjelse;fornøyelse;;;
уезжать;уезжа́ть;v;;MiP;;depart riding;køre væk;kjøre bort;;уе́хать;
уехать;уе́хать;v;;MiP;;depart riding;køre væk;kjøre bort;;уезжа́ть;
ужас;у́жас;n;;MiP;L16;horror;rædsel;gru, redsel;;;
уже;уже́;adv;;MiP;B7;already;allerede;allerede;;;
ужин;у́жин;n;;MiP;L7;dinner;aftensmad;middag;;;
ужинать;у́жинать;;;MiP;B6;eat dinner;spise aftensmad;spise middag;;поу́жинать;
уйти;уйти́;v;;MiP;L15;walk away;gå væk;gå vekk;;уходи́ть;
улица;у́лица;n;;MiP;B4;street;gade;gate;;;
улыбаться;улыба́ться;v;;MiP;L19;smile;smile;smile;;улыбну́ться;
улыбнуться;улыбну́ться;v;;MiP;L19;smile;smile;smile;;улыба́ться;
умереть;умере́ть;v;;MiP;;die;dø;dø;;умира́ть;
умирать;умира́ть;v;;MiP;;die;dø;dø;;умере́ть;
умный;у́мный;;;MiP;L10;smart;klog;klok;;;
университет;университе́т;n;;MiP;L1;university;universitet;universitet;;;
ура;ура́;ij;;MiP;L13;hooray;hurra;hurra;;;
урок;уро́к;n;;MiP;L3;lesson;time, lektion;time, leksjon;;;
услышать;услы́шать;v;;MiP;L18;hear;høre;høre;;слы́шать;
успех;успе́х;n;;MiP;L21;success;held;hell;;;
уставать;устава́ть;;;MiP;L15;get tired;blive træt;bli trett;;уста́ть;
устать;уста́ть;v;;MiP;L15;get tired;blive træt;bli trett;;устава́ть;
утро;у́тро;n;;MiP;L9;morning;morgen;morgen;;;
утром;у́тром;n;;MiP;L3;in the morning;om morgenen, i morges;om morgenen, i morges;;;
уходить;уходи́ть;v;;MiP;L15;walk away;gå væk;gå vekk;;уйти́;
ученик;учени́к;n;;MiP;L12;pupil;elev;elev;;;
ученица;учени́ца;;;MiP;L12;pupil;elev;elev;;;
учительница;учи́тельница;n;;MiP;B5;female teacher;lærerinde;lærerinne;;;
учиться;учи́ться;v;;MiP;L14;study, learn;gå i skole, studere;gå på skole, studere;;;
уютно;ую́тно;;;MiP;L18;comfortably;hyggeligt;koselig;;;
фабрика;фа́брика;n;;MiP;L15;factory;fabrik;fabrikk;;;
факс;факс;;;MiP;B6;fax;fax;faks;;;
фамилия;фами́лия;n;;MiP;L2;last name;efternavn;etternavn;;;
февраль;февра́ль;n;;MiP;L17;February;februar;februar;;;
филиал;филиа́л;;;MiP;L11;branch office;filial;filial;;;
фильм;фильм;n;;MiP;L1;film;film;film;;;
финский;фи́нский;adj;;MiP;L2;Finnish;finsk;finsk;;;
фирма;фи́рма;n;;MiP;B6;company;firma;firma;;;
флаг;флаг;n;;MiP;B6;flag;flag;flagg;;;
форма;фо́рма;n;;MiP;L20;uniform;uniform;uniform;;;
фортепиано;фортепиа́но;;;MiP;L15;piano;klaver;klaver;;;
фотоальбом;фотоальбо́м;;;MiP;B9;photoalbum;fotoalbum;fotoalbum;;;
фотограф;фото́граф;;;MiP;L7;photographer;fotograf;fotograf;;;
фотографировать;фотографи́ровать;;;MiP;L7;photograph;fotografere;fotografere;;сфотографи́ровать;
фотографироваться;фотографи́роваться;;;MiP;L21;be photographed;blive fotograferet;bli fotografert;;сфотографи́роваться;
фотография;фотогра́фия;n;;MiP;B9;photograph;fotografi;fotografi;;;
фотомодель;фотомоде́ль;;;MiP;L1;photomodel;fotomodel;fotomodell;;;
фронт;фронт;n;;MiP;L11;war front;front;front;;;
фрукт;фрукт;n;;MiP;B7;fruit;frugt;frukt;;;
футбол;футбо́л;;;MiP;L1;soccer, football;fodbold;fotball;;;
хватать;хвата́ть;v;;MiP;L21;be sufficient;være tilstrækkelig;være tilstrekkelig;;хвати́ть;
хватить;хвати́ть;;;MiP;L21;be sufficient;være tilstrækkelig;være tilstrekkelig;;хвата́ть;
хлеб;хлеб;n;;MiP;B7;bread;brød;brød;;;
ходить;ходи́ть;v;;MiP;L10;walk;gå;gå;;;идти́
холодильник;холоди́льник;n;;MiP;L12;refrigerator;køleskab;kjøleskap;;;
холоднее;холодне́е;;;MiP;L18;colder;koldere;kaldere;;;
холодно;хо́лодно;adv;;MiP;L12;cold;koldt;kaldt;;;
холодный;холо́дный;;;MiP;L12;cold;kold;kald;;;
хороший;хоро́ший;adj;;MiP;B9;good;god;god;;;
хорошо;хорошо́;adv;;MiP;L2;well, good;godt, rart;godt;;;
хотеть;хоте́ть;vbmod;;MiP;L4;want;ville gerne;ville, ønske;;;
цветок;цвето́к;n;;MiP;L21;flower;blomst;blomst;;;
целовать;целова́ть;v;;MiP;L12;kiss;kysse;kysse;;поцелова́ть;
цена;цена́;n;;MiP;L20;price;pris;pris;;;
центр;центр;n;;MiP;L3;downtown;centrum;sentrum;;;
церемония;церемо́ния;;;MiP;L21;ceremony;ceremoni;seremoni;;;
цирк;цирк;n;;MiP;B4;circus;cirkus;sirkus;;;
чай;чай;n;;MiP;B7;tea;te;te;;;
чайник;ча́йник;n;;MiP;B6;teapot;tepotte;tekanne;;;
час;час;n;;MiP;;hour;time;time;;;
часто;ча́сто;adv;;MiP;L8;often;tit, ofte;ofte;;;
часы;часы́;n;;MiP;L9;clock, watch;ur;klokke, ur;;;
чашка;ча́шка;n;;MiP;B6;cup;kop;kopp;;;
чек;чек;;;MiP;L8;check;check, kassebon;sjekk;;;
человек;челове́к;n;;MiP;L11;person;menneske, person;menneske, person;;;
чем;чем;prn;;MiP;L20;than;end;enn;;;
чемодан;чемода́н;n;;MiP;L20;suitcase;kuffert;koffert;;;
через;че́рез;pr;;MiP;L13;across, through, in;gennem, om;gjennom, om;;;
черный;чёрный;;;MiP;L6;black;sort;svart;;;
черт;чёрт;n;;MiP;L9;devil;fanden;fanden;;;
четверг;четве́рг;n;;MiP;L9;Thursday;torsdag;torsdag;;;
четыре;четы́ре;num;;MiP;L1;four;fire;fire;;;
читать;чита́ть;v;;MiP;L9;read;læse;lese;;прочита́ть;
что;что;cnjsub;;MiP;L3;that;at;at;;;
что;что;cnjsub;;MiP;B6;what, that;hvad, at;hva, at;;;
что-нибудь;что́-нибудь;cnjsub;;MiP;L19;something;et eller andet;et eller annet;;;
что-то;что́-то;cnjsub;;MiP;L19;something;et eller andet;et eller annet;;;
чувство;чу́вство;n;;MiP;L19;feeling;følelse;følelse;;;
чувствовать;чу́вствовать;v;;MiP;L19;feel;føle;føle;;почу́вствовать;
шампанское;шампа́нское;adj;;MiP;B9;champagne;champagne;sjampanje;;;
шапка;ша́пка;n;;MiP;L14;hat;hat;hatt;;;
шарф;шарф;;;MiP;L11;scarf;halstørklæde;skjerf;;;
шесть;шесть;num;;MiP;L1;six;seks;seks;;;
шеф;шеф;n;;MiP;L6;boss;chef;sjef;;;
широкий;широ́кий;;;MiP;L21;wide;bred;bred;;;
школа;шко́ла;n;;MiP;B3;school;skole;skole;;;
школьница;шко́льница;;;MiP;L1;schoolgirl;skolepige;skolepike;;;
шоколад;шокола́д;;;MiP;L4;chocolate;chokolade;sjokolade;;;
шофер;шофёр;;;MiP;L7;chauffeur;chauffør;sjåfør;;;
экзамен;экза́мен;n;;MiP;L3;exam;eksamen;eksamen;;;
экспорт;э́кспорт;;;MiP;B6;export;eksport;eksport;;;
элегантный;элега́нтный;;;MiP;L9;elegant;elegant;elegant;;;
электричка;электри́чка;;;MiP;;commuter train;lokaltog;lokaltog;;;
этаж;эта́ж;n;;MiP;L4;storey, floor;etage;etasje;;;
это;э́то;prn;;MiP;B1;this;dette;dette;;;
этот;э́тот;det;;MiP;L5;this;denne;denne;;;
юридический;юриди́ческий;adj;;MiP;L3;legal;juridisk;juridisk;;;
я;я;prn;;MiP;B2;I;jeg;jeg;;;
язык;язы́к;n;;MiP;L5;language;sprog;språk;;;
ящик;я́щик;n;;MiP;L15;box;æske;eske;;;
